,ID,comments,cleaned_comments
0,Iqe85ffv9-w,"<a href=""https://www.youtube.com/watch?v=Iqe85ffv9-w&amp;t=0m48s"">0:48</a> you can hear the joker in his voice",hear joker voic
1,Iqe85ffv9-w,RIP Christopher Plummer 🌹,rip christoph plummer
2,Iqe85ffv9-w,who is here after his Death ?,death
3,Iqe85ffv9-w,RIP Doctor,rip doctor
4,Iqe85ffv9-w,“The Imaginarium of Doctor Parnassus”.  Sounds like the title of a Frank Zappa song.,imaginarium doctor parnassu sound like titl frank zappa song
5,Iqe85ffv9-w,Johnny Depp is the best ❤️,johnni depp best
6,Iqe85ffv9-w,what a huge pile of vomit  ;),huge pile vomit
7,Iqe85ffv9-w,I really want to watch this also hi Johny Depp pirates of the Caribbean say hi the Davy for me,realli want watch also hi johni depp pirat caribbean say hi davi
8,Iqe85ffv9-w,Came out in 2009 🎭,came
9,Iqe85ffv9-w,Masonic movie,mason movi
10,Iqe85ffv9-w,"Its a Brilliant and Odd movie.  Some people can understand it, and others not!.....I love the concept/plot....💯❣",brilliant odd movi peopl understand other love concept plot
11,Iqe85ffv9-w,"Heath Ledger has more screen time in The Imaginarium Of Doctor Parnassus than he does in The Dark Knight. <br><br>Heath Ledger&#39;s screen time as The Joker, in The Dark Knight is 35 minutes.<br><br>Heath Ledger&#39;s screen time as Tony, in The Imaginarium Of Doctor Parnassus is 40 minutes.<br><br>So people who haven&#39;t seen Doctor Parnassus, it&#39;s not like Heath Ledger is in it, and then at the halfway point of the film his gone. No, Heath Ledger basically comes in to the film, about 15 to 20 minutes in, and Heath Ledger appears in the film essentially from then until the last 15 to 20 minutes. So yes it&#39;s worth while seeing.",heath ledger screen time imaginarium doctor parnassu dark knight heath ledger screen time joker dark knight minut heath ledger screen time toni imaginarium doctor parnassu minut peopl seen doctor parnassu like heath ledger halfway point film gone heath ledger basic come film minut heath ledger appear film essenti last minut ye worth see
12,Iqe85ffv9-w,"Jude Law Johnny Deep Colin Farrell and Heath Ledger all in one film, and this story line was entertaining.",jude law johnni deep colin farrel heath ledger one film stori line entertain
13,Iqe85ffv9-w,FINALLY I FOUND YOU !,final found
14,Iqe85ffv9-w,Just watched it.. never heard of it.. such a good film!,watch never heard good film
15,Iqe85ffv9-w,"Such a powerhouse cast, Heath Ledger&#39;s last movie that he wasn&#39;t even able to see through to the end, and hardly anyone has heard of it.",powerhous cast heath ledger last movi even abl see end hardli anyon heard
16,Iqe85ffv9-w,"Srry for poor inglés, Vhen were you when heat legend dies?",srri poor ingl vhen heat legend die
17,Iqe85ffv9-w,how is the best quality available in 240p?!!? these graphics from 2009 are absolute shit,best qualiti avail p graphic absolut shit
18,Iqe85ffv9-w,Love the music that&#39;s playing. Anyone know the name of it?,love music play anyon know name
19,Iqe85ffv9-w,240p so we meet again ...,p meet
20,Iqe85ffv9-w,Im watching this.,im watch
21,Iqe85ffv9-w,2020 everyone. What a fantastic film. 🥳,everyon fantast film
22,Iqe85ffv9-w,Why does the first guy that goes through the mirror face change???? Please explain!!!,first guy goe mirror face chang pleas explain
23,Iqe85ffv9-w,Rip Heath Ledger 1979-2008 and Rip Verne Troyer 1969-2018 10 years apart,rip heath ledger rip vern troyer year apart
24,Iqe85ffv9-w,"The Sally Jesse Raphael show told Justin cogo to act bad,act bad for the camera, and offered him a pack of cigarettes in NY in 1995 behind his parents back.",salli jess raphael show told justin cogo act bad act bad camera offer pack cigarett ny behind parent back
25,Iqe85ffv9-w,joker went out with a joke,joker went joke
26,Iqe85ffv9-w,"Heath Ledger was in a white suit and white mask when he shot his last scene. If he wasn’t wearing a mask, they couldn’t have introduced other actors. Because the mask was there, in the next scene the other actors could take off the mask and introduce themselves as different people in another world. RIP Heath Ledger, you made yourself a legend, even through the symbolism of your death.",heath ledger white suit white mask shot last scene wear mask introduc actor mask next scene actor could take mask introduc differ peopl anoth world rip heath ledger made legend even symbol death
27,Iqe85ffv9-w,Do ppl know 😳 the Is devil fake 😒 so make it make sense 🚮,ppl know devil fake make make sens
28,Iqe85ffv9-w,Terry Gilliam is God,terri gilliam god
29,Iqe85ffv9-w,"Anyone else find it funny that Tom Waitts, the guy that Heath Ledger modelled the Joker voice off of, is playing in a film with Heath Ledger?",anyon els find funni tom waitt guy heath ledger model joker voic play film heath ledger
30,Iqe85ffv9-w,"Everyone thinks Heath passed away during The Dark Knight but he actually passed during the filming of this movie, which was much longer after TDK. I&#39;m thinking both roles could have fucked him up a little or just so much work and no sleep instead using Xanax.",everyon think heath pass away dark knight actual pass film movi much longer tdk think role could fuck littl much work sleep instead use xanax
31,Iqe85ffv9-w,This kind of movies is not for us ... we are not part of the public that the directors focus on.,kind movi us part public director focu
32,Iqe85ffv9-w,R I p Heath and Verne,r p heath vern
33,Iqe85ffv9-w,"It took me so long to find this movie again, the only thing I could remember was the swing and the mirror but could never remember the title. So glad I found it again.",took long find movi thing could rememb swing mirror could never rememb titl glad found
34,Iqe85ffv9-w,"byłem w kinie sam, 400km od domu, coś chciałem obejrzeć, zasnąłem w trakcie pijany... 10 lat minęło a ciągle pamiętam tą scene... tego pijaka, który wchodzi po schodach i tonie w butelkach... Motyw starszego gościa który <br>uwodzi młodszą dziewczynę aby ją wykorzystać utkwił mi w głowie... zbieg okoliczności... ze akurat tam w tym miasteczku ona zmieniała moje życie...",em w kini sam km od domu co chcia em obejrz zasn em w trakci pijani lat min ci gle pami tam scene tego pijaka kt ry wchodzi po schodach toni w butelkach motyw starszego go cia kt ry uwodzi odsz dziewczyn abi j wykorzysta utkwi mi w g owi zbieg okoliczno ci ze akurat tam w tym miasteczku ona zmienia moje ycie
35,Iqe85ffv9-w,RIP Heath n Verne,rip heath n vern
36,Iqe85ffv9-w,Verne and heath rest in peace,vern heath rest peac
37,Iqe85ffv9-w,Heath Ledger😊Love you❤,heath ledger love
38,Iqe85ffv9-w,rip heath the best best best joker ever made will miss you 😢😢,rip heath best best best joker ever made miss
39,Iqe85ffv9-w,Sony pictures must be behind the satanic blood sacrifice of leger,soni pictur must behind satan blood sacrific leger
40,Iqe85ffv9-w,"I have looked for this movie for the past 5 years. I saw it one on TV, and fell in love  with  it. I am so happy I have  found  it.",look movi past year saw one tv fell love happi found
41,Iqe85ffv9-w,Zero mention of fetus Andrew Garfield lol,zero mention fetu andrew garfield lol
42,Iqe85ffv9-w,why does this look like it was filmed on a potato.,look like film potato
43,Iqe85ffv9-w,Watch this tripping on acid. You won’t be disappointed.,watch trip acid disappoint
44,Iqe85ffv9-w,"This should have been Called, <b>Terry Gilliams, The Imagination of WTF is going on in Doctor Parsnips wizard of oz mind</b>",call terri gilliam imagin wtf go doctor parsnip wizard oz mind
45,Iqe85ffv9-w,This movie is rubbish.,movi rubbish
46,Iqe85ffv9-w,I remember this movie not being very good. I think people really wanted it to be good because of Heath Ledger.,rememb movi good think peopl realli want good heath ledger
47,Iqe85ffv9-w,"I love that they used different actors for the same role. It’s so creative, and not easily spotted. It emphasises the “dreamscape, nothing is as it seems” trope that it possesses. Awesome job. XD",love use differ actor role creativ easili spot emphasis dreamscap noth seem trope possess awesom job xd
48,Iqe85ffv9-w,why so low res tho,low re tho
49,Iqe85ffv9-w,This film is memorable with good acting &amp; actors.,film memor good act amp actor
50,Iqe85ffv9-w,Going go see on Netflix tonight..it&#39;s movie night bitches..can&#39;t wait..,go go see netflix tonight movi night bitch wait
51,Iqe85ffv9-w,Does anybody know the score to this trailer?,anybodi know score trailer
52,Iqe85ffv9-w,"<a href=""https://www.youtube.com/watch?v=Iqe85ffv9-w&amp;t=1m12s"">1:12</a> All three actors are in The Fantastic Beasts series. Makes you wonder if Heath would&#39;ve had a similar role if he was still alive.",three actor fantast beast seri make wonder heath would similar role still aliv
53,Iqe85ffv9-w,Heath ledger😊🌟🌟🌟,heath ledger
54,Iqe85ffv9-w,Georges...,georg
55,Iqe85ffv9-w,I DONT KNOW,dont know
56,Iqe85ffv9-w,How have I never seen this?<br>That&#39;s such a great cast! I also love that Tom Waits is the devil. Haha,never seen great cast also love tom wait devil haha
57,Iqe85ffv9-w,Must see this now...,must see
58,Iqe85ffv9-w,"<a href=""https://www.youtube.com/watch?v=Iqe85ffv9-w&amp;t=0m45s"">0:45</a> That world looks a Mario Party game board.",world look mario parti game board
59,Iqe85ffv9-w,Looks like a massive pile of crap what a waist of casting talent and money,look like massiv pile crap waist cast talent money
60,Iqe85ffv9-w,My thoughts when I&#39;m high,thought high
