,Title,ID,positive,negative,result_category
0,Guardians of the Galaxy,d96cjJhvlMA,0.7448979591836735,0.2551020408163265,Good
1,Prometheus,HHcHYisZFLU,0.5858585858585859,0.4141414141414141,Average
2,Split,KIpGKumxiGg,0.6020408163265306,0.3979591836734694,Good
3,Suicide Squad,CmRih_VtVAs,0.7628865979381443,0.2371134020618556,Average
4,The Great Wall,avF6GHyyk5c,0.5555555555555556,0.4444444444444444,Average
5,La La Land,0pdqf4P9MB8,0.6122448979591837,0.3877551020408163,Good
6,The Lost City of Z,yqGDNvX1F4g,0.6170212765957447,0.3829787234042553,Good
7,Passengers,7BWWWQzTpNU,0.5959595959595959,0.404040404040404,Average
8,Hidden Figures,5wfrDhgUMGI,0.5979381443298969,0.4020618556701031,Good
9,Rogue One,frdj1zb9sMY,0.7551020408163265,0.2448979591836734,Good
10,Colossal,beuUiUCFIkc,0.8571428571428571,0.1428571428571428,Average
11,Jason Bourne,F4gJsKZvqE4,0.71875,0.28125,Average
12,Lion,-RNI9o06vqo,0.6938775510204082,0.3061224489795918,Good
13,Manchester by the Sea,gsVoD0pTge0,0.6,0.4,Good
14,Independence Day: Resurgence,LbduDRH2m2M,0.6464646464646465,0.3535353535353535,Average
15,Bad Moms,iKCw-kqo3cs,0.4591836734693877,0.5408163265306123,Average
16,Assassin's Creed,4haJD6W136c,0.6914893617021277,0.3085106382978723,Average
17,Why Him?,xOZ2bs9IboU,0.4848484848484848,0.5151515151515151,Average
18,Nocturnal Animals,-H1Ii1LjyFU,0.64,0.36,Good
19,X-Men: Apocalypse,COvnHv42T-A,0.7319587628865979,0.268041237113402,Good
20,Resident Evil: The Final Chapter,79Sd4GtOXuI,0.6632653061224489,0.336734693877551,Average
21,Captain America: Civil War,dKrVegVI0Us,0.71875,0.28125,Good
22,Interstellar,2LqzF5WauAw,0.6530612244897959,0.3469387755102041,Good
23,Doctor Strange,HSzx-zryEgM,0.7525773195876289,0.2474226804123711,Good
24,The Magnificent Seven,q-RBA0xoaWU,0.6020408163265306,0.3979591836734694,Average
25,Sausage Party,RDm_jsvksQQ,0.5473684210526316,0.4526315789473684,Average
26,Moonlight,9NJj12tJzqc,0.7010309278350515,0.2989690721649484,Good
27,The Founder,AX2uz2XYkbo,0.6363636363636364,0.3636363636363636,Good
28,Lowriders,6k0mm_cxzy0,0.5050505050505051,0.494949494949495,Average
29,Pirates of the Caribbean: On Stranger Tides,kvIyBMWSdLs,0.4,0.6,Average
30,Miss Sloane,AMUkfmUu44k,0.5454545454545454,0.4545454545454545,Good
31,Underworld: Blood Wars,rKHL5PyAPzs,0.53,0.47,Average
32,Mother's Day,2BPr217zLps,0.6185567010309279,0.3814432989690721,Average
33,John Wick,qEVUtrk8_B4,0.6185567010309279,0.3814432989690721,Good
34,The Dark Knight,EXeTwQWrcwY,0.7244897959183674,0.2755102040816326,Good
35,Silence,IqrgxZLd_gE,0.6060606060606061,0.3939393939393939,Good
36,Don't Breathe,76yBTNDB6vU,0.48,0.52,Good
37,Me Before You,Eh993__rOxA,0.61,0.39,Good
38,Their Finest,mMh1EvAQOQ8,0.6956521739130435,0.3043478260869565,Average
39,Sully,mjKEXxO2KNE,0.6530612244897959,0.3469387755102041,Good
40,Batman v Superman: Dawn of Justice,0WWzgGyAH6Y,0.6767676767676768,0.3232323232323232,Average
41,Fifty Shades of Grey,SfZWFDs0LxA,0.6326530612244898,0.3673469387755102,Bad
42,The Prestige,RLtaA9fFNXU,0.7959183673469388,0.2040816326530612,Good
43,Kingsman: The Secret Service,kl8F-8tR8to,0.57,0.43,Good
44,Patriots Day,ykwSo64RYao,0.6428571428571429,0.3571428571428571,Good
45,Mad Max: Fury Road,hEJnMQG9ev8,0.7070707070707071,0.2929292929292929,Good
46,Wakefield,E00DODio0Wk,0.6555555555555556,0.3444444444444444,Good
47,Deepwater Horizon,8yASbM8M2vg,0.57,0.43,Good
48,A Monster Calls,WMgm20Di9Wg,0.6868686868686869,0.3131313131313131,Good
49,Collateral Beauty,dpFyds_pS2E,0.6597938144329897,0.3402061855670103,Average
50,Inglourious Basterds,KnrRy6kSFF0,0.7142857142857143,0.2857142857142857,Good
51,Pirates of the Caribbean: Dead Man's Chest,SNA-Ezahmok,0.71875,0.28125,Good
52,Ghostbusters,ahZFCF--uRY,0.5612244897959183,0.4387755102040816,Average
53,Inception,YoHD9XEInc0,0.7835051546391752,0.2164948453608247,Good
54,Captain Fantastic,DHJuC8U8CHU,0.63,0.37,Good
55,The Wolf of Wall Street,iszwuX1AK6A,0.5858585858585859,0.4141414141414141,Good
56,Gone Girl,2-_-1nJf8Vg,0.7070707070707071,0.2929292929292929,Good
57,Furious Seven,Skpu5HaVkOc,0.7578947368421053,0.2421052631578947,Good
58,Jurassic World,RFinNxS5KN4,0.58,0.42,Average
59,Live by Night,CtFZcAuH-qI,0.76,0.24,Average
60,The Hateful Eight,nIOmotayDMY,0.6428571428571429,0.3571428571428571,Good
61,The Accountant,DBfsgcswlYQ,0.7878787878787878,0.2121212121212121,Good
62,Prisoners,2SupordEUpw,0.6565656565656566,0.3434343434343434,Good
63,Warcraft,2Rxoz13Bthc,0.723404255319149,0.2765957446808511,Average
64,The Help,XOTkNsxhECY,0.8292682926829268,0.1707317073170731,Good
65,War Dogs,Rwh9c_E3dJk,0.5368421052631579,0.4631578947368421,Good
66,Avengers: Age of Ultron,tmeOjFno6Do,0.7083333333333334,0.2916666666666667,Good
67,The Nice Guys,GQR5zsLHbYw,0.7755102040816326,0.2244897959183673,Good
68,Kimi no na wa,xU47nhruN-Q,0.6701030927835051,0.3298969072164948,Good
69,The Void,IkmSNt4moNg,0.5959595959595959,0.404040404040404,Average
70,The Departed,iojhqm0JTW4,0.7551020408163265,0.2448979591836734,Good
71,Legend,WVHlrfzLjd4,0.4583333333333333,0.5416666666666666,Average
72,Thor,JOddp-nlNvQ,0.5959595959595959,0.404040404040404,Average
73,The Martian,ej3ioOneTy8,0.6666666666666666,0.3333333333333333,Good
74,The Man from U.N.C.L.E.,4K4Iv_N9Nno,0.63,0.37,Good
75,Hell or High Water,JQoqsKoJVDw,0.696969696969697,0.303030303030303,Good
76,The Comedian,QJit_DU2XhM,0.5428571428571428,0.4571428571428571,Average
77,The Legend of Tarzan,Aj7ty6sViiU,0.62,0.38,Average
78,Ex Machina,bggUmgeMCdc,0.5959595959595959,0.404040404040404,Good
79,The Belko Experiment,jP2Ow2CX6OQ,0.62,0.38,Average
80,12 Years a Slave,z02Ie8wKKRg,0.59,0.41,Good
81,Harry Potter and the Deathly Hallows: Part 2,5NYt1qirBWg,0.73,0.27,Good
82,The Neon Demon,cipOTUO0CmU,0.6391752577319587,0.3608247422680412,Average
83,10 Cloverfield Lane,yQy-ANhnUpE,0.52,0.48,Good
84,Miss Peregrine's Home for Peculiar Children,tV_IhWE4LP0,0.6161616161616161,0.3838383838383838,Average
85,Divergent,sutgWjz10sM,0.68,0.32,Average
86,Mike and Dave Need Wedding Dates,33MtR-g4Jcg,0.71,0.29,Average
87,The Dark Knight Rises,g8evyE9TuYk,0.711340206185567,0.2886597938144329,Good
88,Transformers: Age of Extinction,dYDGqmxMZFI,0.6122448979591837,0.3877551020408163,Average
89,Nerve,2PR9MOPTI7g,0.7474747474747475,0.2525252525252525,Average
